uid,iid
215,0
996,0
1448,0
1757,0
1850,0
1876,0
2015,0
2836,0
2945,0
3068,0
3421,0
3513,0
3593,0
3740,0
3948,0
4918,0
4931,0
5514,0
5544,0
75,3
255,3
345,3
533,3
648,3
709,3
727,3
839,3
941,3
993,3
1431,3
1510,3
1646,3
1705,3
1844,3
1868,3
1973,3
2072,3
2110,3
2133,3
2229,3
2291,3
2298,3
2411,3
2424,3
2540,3
2721,3
3149,3
3321,3
3398,3
3557,3
3879,3
3948,3
4258,3
4315,3
4436,3
4729,3
4861,3
4931,3
4992,3
5188,3
5194,3
5203,3
5261,3
5394,3
5514,3
5544,3
967,6
1039,6
1296,6
2141,6
2220,6
2572,6
3163,6
3948,6
4519,6
4931,6
4992,6
5139,6
5194,6
5261,6
530,7
724,7
1799,7
1838,7
1850,7
2096,7
2572,7
3307,7
3377,7
3603,7
3736,7
3948,7
4341,7
4931,7
5005,7
5139,7
5188,7
382,8
1178,8
1837,8
2572,8
3000,8
3307,8
3412,8
3948,8
4002,8
4107,8
4221,8
4931,8
5006,8
5228,8
382,9
691,9
1043,9
1834,9
3825,9
3948,9
4071,9
4199,9
4502,9
4931,9
5224,9
5242,9
570,11
648,11
1060,11
1752,11
1853,11
1976,11
2533,11
2815,11
2939,11
3032,11
3557,11
3586,11
3639,11
3662,11
3948,11
4328,11
4618,11
4729,11
4836,11
4931,11
4943,11
5498,11
562,12
1164,12
2223,12
3948,12
4931,12
5406,12
570,13
1510,13
1705,13
2572,13
2815,13
3055,13
3101,13
3948,13
4307,13
4931,13
5188,13
5514,13
12,14
44,14
72,14
108,14
116,14
135,14
154,14
158,14
226,14
258,14
388,14
476,14
515,14
548,14
557,14
590,14
648,14
676,14
681,14
724,14
777,14
793,14
812,14
830,14
867,14
901,14
959,14
960,14
993,14
1019,14
1041,14
1043,14
1049,14
1052,14
1058,14
1060,14
1114,14
1120,14
1164,14
1169,14
1183,14
1207,14
1215,14
1410,14
1425,14
1448,14
1487,14
1495,14
1510,14
1542,14
1577,14
1622,14
1645,14
1646,14
1698,14
1703,14
1705,14
1752,14
1755,14
1757,14
1830,14
1832,14
1837,14
1850,14
1874,14
1903,14
1949,14
1956,14
1985,14
2051,14
2055,14
2068,14
2072,14
2088,14
2141,14
2173,14
2178,14
2189,14
2220,14
2232,14
2260,14
2264,14
2286,14
2299,14
2341,14
2344,14
2414,14
2461,14
2472,14
2609,14
2623,14
2659,14
2738,14
2762,14
2778,14
2842,14
2846,14
2857,14
2918,14
2925,14
2939,14
2994,14
3016,14
3030,14
3034,14
3045,14
3046,14
3054,14
3101,14
3134,14
3151,14
3232,14
3278,14
3321,14
3332,14
3359,14
3393,14
3437,14
3494,14
3527,14
3576,14
3581,14
3593,14
3639,14
3734,14
3753,14
3801,14
3822,14
3878,14
3883,14
3948,14
3973,14
3991,14
4013,14
4022,14
4044,14
4103,14
4112,14
4133,14
4137,14
4152,14
4171,14
4220,14
4221,14
4268,14
4282,14
4292,14
4313,14
4317,14
4327,14
4328,14
4351,14
4358,14
4368,14
4396,14
4414,14
4434,14
4436,14
4438,14
4452,14
4483,14
4488,14
4514,14
4519,14
4530,14
4549,14
4603,14
4639,14
4645,14
4652,14
4660,14
4729,14
4791,14
4836,14
4840,14
4901,14
4931,14
4967,14
4978,14
5018,14
5020,14
5047,14
5130,14
5139,14
5207,14
5208,14
5233,14
5242,14
5271,14
5293,14
5330,14
5354,14
5419,14
5427,14
5482,14
5511,14
5514,14
5518,14
5520,14
49,15
159,15
215,15
228,15
288,15
383,15
403,15
498,15
570,15
577,15
648,15
652,15
663,15
681,15
724,15
941,15
959,15
993,15
1002,15
1039,15
1041,15
1164,15
1169,15
1177,15
1183,15
1318,15
1410,15
1448,15
1480,15
1510,15
1580,15
1659,15
1703,15
1705,15
1746,15
1755,15
1762,15
1838,15
1844,15
1850,15
1859,15
1903,15
1926,15
1949,15
2015,15
2051,15
2072,15
2141,15
2220,15
2229,15
2341,15
2411,15
2424,15
2460,15
2500,15
2507,15
2520,15
2572,15
2623,15
2815,15
2857,15
2876,15
2919,15
2923,15
3002,15
3030,15
3046,15
3055,15
3068,15
3101,15
3134,15
3151,15
3232,15
3250,15
3278,15
3307,15
3321,15
3359,15
3398,15
3413,15
3447,15
3557,15
3566,15
3593,15
3639,15
3736,15
3948,15
4044,15
