uid,iid
49,1
194,1
245,1
551,1
648,1
894,1
1683,1
1826,1
2572,1
2736,1
2809,1
3231,1
3447,1
3546,1
3639,1
3822,1
3948,1
3952,1
4062,1
4341,1
4503,1
4931,1
4998,1
5215,1
5272,1
5467,1
590,21
1903,21
2076,21
3437,21
3925,21
3948,21
4313,21
4931,21
5419,21
91,30
251,30
356,30
2303,30
3082,30
3239,30
4734,30
51,68
144,68
519,68
661,68
774,68
857,68
876,68
1040,68
1122,68
1284,68
1311,68
1395,68
1518,68
1663,68
1956,68
2038,68
2186,68
2272,68
2297,68
2421,68
2671,68
2689,68
2830,68
2846,68
2894,68
3178,68
3276,68
3340,68
3359,68
3369,68
3422,68
3506,68
3675,68
4025,68
4135,68
4402,68
4425,68
4454,68
4481,68
5295,68
5350,68
5436,68
93,80
408,80
570,80
577,80
1164,80
2815,80
3391,80
3400,80
3948,80
4307,80
4397,80
4931,80
498,88
652,88
724,88
1039,88
1542,88
1892,88
2460,88
3644,88
3736,88
4307,88
4726,88
4729,88
5099,88
49,94
598,94
1677,94
2053,94
3782,94
4198,94
4207,94
4706,94
4927,94
5249,94
5333,94
20,108
21,108
142,108
221,108
664,108
1725,108
1917,108
1950,108
2247,108
2273,108
2868,108
3232,108
4672,108
4792,108
4799,108
4931,108
4987,108
221,124
2015,124
2465,124
3948,124
4307,124
4672,124
4931,124
405,155
795,155
1218,155
3096,155
5035,155
5529,155
1241,157
2073,157
2159,157
2422,157
2519,157
2808,157
2960,157
4444,157
5001,157
5374,157
1563,165
2816,165
1448,186
1757,186
2015,186
2809,186
3083,186
3151,186
3948,186
4931,186
4992,186
5045,186
5379,186
869,237
1047,237
1058,237
1615,237
2353,237
2853,237
2861,237
4717,237
4786,237
5058,237
5094,237
155,252
194,252
221,252
245,252
425,252
530,252
577,252
648,252
1677,252
2134,252
2290,252
2572,252
2621,252
2857,252
3019,252
3652,252
3782,252
3822,252
4209,252
4340,252
4492,252
4672,252
4702,252
4931,252
5188,252
5373,252
5379,252
216,284
251,284
421,284
520,284
560,284
767,284
887,284
1037,284
1152,284
1253,284
1370,284
1531,284
2081,284
2190,284
2461,284
2931,284
3525,284
3931,284
4043,284
4393,284
4476,284
4532,284
4576,284
4991,284
5319,284
5411,284
5507,284
82,294
116,294
261,294
310,294
340,294
526,294
585,294
641,294
660,294
710,294
1237,294
1324,294
1351,294
1669,294
1774,294
1780,294
1883,294
1904,294
2119,294
2174,294
2178,294
2299,294
2403,294
2416,294
2512,294
2541,294
2565,294
2607,294
2713,294
2933,294
3015,294
3328,294
3394,294
3473,294
3516,294
3639,294
3791,294
3979,294
3983,294
4041,294
4067,294
4238,294
4923,294
4986,294
5078,294
5450,294
5498,294
5538,294
93,317
94,317
974,317
1303,317
2114,317
3194,317
3287,317
3400,317
3452,317
3544,317
4100,317
4756,317
844,337
1131,337
2589,337
4076,337
382,340
574,340
2523,340
3101,340
3312,340
3530,340
3758,340
3969,340
4444,340
2030,345
2533,345
3022,345
4162,345
4328,345
4674,345
4846,345
5305,345
86,348
112,348
971,348
1146,348
2129,348
3540,348
3542,348
3668,348
4616,348
5009,348
5267,348
443,392
2329,392
2658,392
4755,392
4779,392
5208,392
3194,408
3688,408
3788,408
4099,408
4262,408
4535,408
4613,408
4732,408
4756,408
4771,408
564,422
700,422
1026,422
1311,422
1554,422
1906,422
1956,422
2589,422
2717,422
2778,422
3785,422
4142,422
4339,422
4591,422
4950,422
5135,422
5453,422
1448,431
1510,431
2725,431
3231,431
3447,431
3518,431
3639,431
3948,431
4856,431
4931,431
5188,431
5379,431
91,447
112,447
213,447
282,447
332,447
363,447
433,447
464,447
577,447
588,447
739,447
844,447
856,447
857,447
1013,447
1026,447
1131,447
1161,447
1164,447
1311,447
1517,447
1534,447
1579,447
1663,447
1722,447
2073,447
2330,447
2365,447
2589,447
3028,447
3082,447
3342,447
3359,447
3468,447
3479,447
3552,447
3618,447
3620,447
3645,447
3821,447
3940,447
4076,447
4239,447
4379,447
4552,447
4680,447
4760,447
4973,447
5179,447
5218,447
5427,447
5433,447
5450,447
5472,447
5520,447
23,461
403,461
593,461
626,461
849,461
853,461
968,461
1030,461
1376,461
1715,461
1919,461
2062,461
2585,461
2635,461
2902,461
2947,461
3112,461
3377,461
3502,461
3690,461
4649,461
4853,461
4996,461
5084,461
5343,461
5369,461
54,465
1636,465
3448,465
3489,465
4702,465
4811,465
158,468
258,468
388,468
577,468
1164,468
1480,468
1510,468
1698,468
2252,468
2470,468
2748,468
2857,468
3057,468
3332,468
3575,468
3736,468
3801,468
3883,468
3907,468
3945,468
4437,468
4619,468
5005,468
5419,468
632,492
2640,492
2724,492
3074,492
3303,492
3879,492
4051,492
4316,492
4731,492
4810,492
5528,492
443,510
974,510
1898,510
3014,510
3287,510
3708,510
3880,510
4380,510
4490,510
4756,510
4976,510
433,558
603,558
2548,558
3487,558
3631,558
3663,558
3851,558
3982,558
4807,558
5143,558
1497,574
2029,574
3549,574
5079,574
5354,574
5368,574
1060,575
1752,575
3586,575
3624,575
3817,575
66,597
847,597
3054,597
269,598
346,598
697,598
974,598
1072,598
1600,598
2339,598
2829,598
2911,598
3014,598
3708,598
4756,598
4835,598
4958,598
2090,613
4491,613
4656,613
4859,613
4886,613
4937,613
5157,613
5273,613
5513,613
5527,613
965,621
1505,621
1838,621
2152,621
2167,621
2635,621
2721,621
3063,621
3175,621
3379,621
3481,621
3559,621
3638,621
4861,621
5071,621
5373,621
82,627
267,627
1497,627
1752,627
1995,627
2465,627
2702,627
3229,627
3433,627
3624,627
3826,627
4664,627
4859,627
4943,627
5157,627
5273,627
5323,627
5466,627
82,633
691,633
1932,633
2586,633
3229,633
3509,633
3817,633
3993,633
4665,633
4937,633
5054,633
5273,633
5365,633
5518,633
1752,640
2963,640
5323,640
37,660
1118,660
1851,660
3172,660
3512,660
3536,660
4609,660
4935,660
5384,660
1642,674
3171,674
4085,674
536,678
703,678
1696,678
1797,678
1837,678
2220,678
2392,678
2400,678
2496,678
2773,678
3447,678
3662,678
3832,678
4153,678
4198,678
4731,678
4939,678
5317,678
5509,678
892,695
1293,695
1448,695
1746,695
1788,695
3151,695
3447,695
3952,695
4089,695
5020,695
260,698
426,698
685,698
1636,698
1749,698
1808,698
2228,698
2922,698
2923,698
3005,698
3288,698
3398,698
3559,698
3703,698
4035,698
5373,698
5528,698
216,717
2056,717
2872,717
3154,717
3784,717
3934,717
3957,717
4504,717
4515,717
363,745
730,745
985,745
1057,745
1353,745
2772,745
3069,745
4745,745
49,772
122,772
348,772
530,772
656,772
993,772
1427,772
1448,772
1510,772
1580,772
1692,772
1762,772
1860,772
2220,772
2259,772
2336,772
2572,772
2640,772
2791,772
3132,772
3155,772
3278,772
3335,772
3355,772
3444,772
3447,772
3767,772
4017,772
4031,772
4032,772
4243,772
4263,772
4410,772
4426,772
4572,772
4729,772
4863,772
4904,772
5017,772
5194,772
5246,772
5261,772
5291,772
5500,772
5509,772
519,793
1311,793
1507,793
1516,793
2830,793
2833,793
3062,793
3789,793
3935,793
4142,793
4454,793
4795,793
5178,793
427,819
1698,819
1723,819
4575,819
4698,819
5180,819
5449,819
1299,836
3012,836
3129,836
3315,836
3926,836
4343,836
4609,836
4849,836
5022,836
759,842
1113,842
1246,842
1744,842
2726,842
2964,842
3012,842
3129,842
3269,842
3336,842
3602,842
3926,842
5270,842
294,867
982,867
1354,867
1699,867
3391,867
3892,867
82,905
116,905
180,905
504,905
574,905
602,905
796,905
2290,905
2395,905
2600,905
3054,905
3101,905
3538,905
3788,905
3969,905
4073,905
4139,905
4327,905
4839,905
4986,905
5464,905
51,906
107,906
112,906
406,906
526,906
557,906
582,906
657,906
659,906
774,906
825,906
857,906
1013,906
1040,906
1122,906
1276,906
1284,906
1311,906
1332,906
1498,906
1502,906
1518,906
1528,906
1619,906
1842,906
1956,906
2116,906
2199,906
2449,906
2506,906
2680,906
2692,906
3116,906
3156,906
3340,906
3369,906
3620,906
3884,906
3924,906
4025,906
4075,906
4373,906
4375,906
4402,906
4532,906
4632,906
4635,906
4947,906
4964,906
4984,906
5082,906
5409,906
5427,906
5472,906
5550,906
12,927
1889,927
2647,927
5029,927
5528,927
5540,927
519,979
683,979
1311,979
1507,979
1516,979
1665,979
2100,979
2362,979
2548,979
2830,979
2833,979
3285,979
3369,979
3663,979
3789,979
3982,979
4048,979
4142,979
4454,979
4524,979
4723,979
4795,979
4807,979
5178,979
573,991
1055,991
1621,991
1793,991
1831,991
2178,991
3115,991
3958,991
573,992
1291,992
2061,992
2368,992
2633,992
3494,992
4993,992
5194,992
5424,992
133,1046
390,1046
564,1046
2129,1046
2421,1046
2583,1046
2589,1046
2601,1046
2850,1046
