uid,iid
19376.0,5217.0
19376.0,5555.0
19376.0,7712.0
380.0,583.0
380.0,1315.0
380.0,1788.0
380.0,3215.0
380.0,3335.0
380.0,4340.0
380.0,7418.0
380.0,7652.0
380.0,8817.0
380.0,11123.0
380.0,13239.0
380.0,15610.0
380.0,15710.0
380.0,16484.0
380.0,17677.0
380.0,18250.0
380.0,18867.0
106359.0,167.0
106359.0,625.0
106359.0,1585.0
106359.0,3577.0
106359.0,3726.0
106359.0,5011.0
106359.0,7566.0
106359.0,7896.0
106359.0,9991.0
106359.0,10515.0
106359.0,11115.0
106359.0,12155.0
106359.0,12665.0
106359.0,14578.0
106359.0,16747.0
106359.0,17530.0
106359.0,17999.0
76227.0,19896.0
36506.0,167.0
36506.0,861.0
36506.0,1969.0
36506.0,3280.0
36506.0,3577.0
36506.0,3726.0
36506.0,4388.0
36506.0,5864.0
36506.0,6998.0
36506.0,9308.0
36506.0,12430.0
36506.0,12665.0
36506.0,13910.0
36506.0,14177.0
36506.0,18379.0
36506.0,18564.0
36506.0,18771.0
36506.0,20400.0
88499.0,196.0
88499.0,994.0
88499.0,3659.0
88499.0,3797.0
88499.0,4510.0
88499.0,5778.0
88499.0,8961.0
88499.0,9302.0
88499.0,10243.0
88499.0,10451.0
88499.0,10605.0
88499.0,11616.0
88499.0,11871.0
88499.0,12371.0
88499.0,15564.0
88499.0,15971.0
88499.0,17123.0
88499.0,18918.0
88499.0,18995.0
88499.0,19380.0
88499.0,19896.0
55664.0,67.0
55664.0,1497.0
55664.0,1598.0
55664.0,2219.0
55664.0,5546.0
55664.0,7523.0
55664.0,7608.0
55664.0,7682.0
55664.0,11702.0
55664.0,13540.0
55664.0,15674.0
55664.0,17418.0
55664.0,17708.0
55664.0,19191.0
55664.0,19751.0
55664.0,20141.0
55664.0,20358.0
28669.0,19749.0
21880.0,1776.0
21880.0,2063.0
21880.0,2101.0
21880.0,3195.0
21880.0,4231.0
21880.0,4486.0
21880.0,5978.0
21880.0,10943.0
21880.0,13377.0
21880.0,16667.0
21880.0,17412.0
21880.0,17893.0
21880.0,19286.0
21880.0,19473.0
21880.0,19567.0
21880.0,20061.0
21880.0,20311.0
99677.0,206.0
99677.0,625.0
99677.0,1393.0
99677.0,1871.0
99677.0,2233.0
99677.0,2544.0
99677.0,4208.0
99677.0,5270.0
99677.0,7619.0
99677.0,7913.0
99677.0,8423.0
99677.0,8785.0
99677.0,8947.0
99677.0,9195.0
99677.0,10154.0
99677.0,10594.0
99677.0,11241.0
99677.0,14287.0
99677.0,15353.0
99677.0,15407.0
99677.0,15411.0
99677.0,15549.0
99677.0,17145.0
99677.0,17224.0
99677.0,17483.0
99677.0,17576.0
99677.0,17602.0
99677.0,17999.0
99677.0,19169.0
99677.0,19694.0
100407.0,387.0
100407.0,2193.0
100407.0,2200.0
100407.0,3477.0
100407.0,5480.0
100407.0,5711.0
100407.0,5978.0
100407.0,8288.0
100407.0,8854.0
100407.0,9619.0
100407.0,10353.0
100407.0,15037.0
100407.0,15378.0
100407.0,17427.0
100407.0,17438.0
100407.0,18108.0
100407.0,18250.0
100407.0,19071.0
98410.0,625.0
98410.0,1955.0
98410.0,2340.0
98410.0,4337.0
98410.0,4477.0
98410.0,5417.0
98410.0,5685.0
98410.0,6808.0
98410.0,7608.0
98410.0,9391.0
98410.0,10530.0
98410.0,14748.0
98410.0,16076.0
98410.0,16893.0
98410.0,17433.0
98410.0,18183.0
98410.0,19697.0
98410.0,20489.0
15383.0,2233.0
15383.0,3517.0
15383.0,3776.0
15383.0,5229.0
15383.0,5436.0
15383.0,6998.0
15383.0,7259.0
15383.0,7480.0
15383.0,8348.0
15383.0,8423.0
15383.0,8947.0
15383.0,10261.0
15383.0,11115.0
15383.0,13441.0
15383.0,15407.0
15383.0,15411.0
15383.0,17388.0
15383.0,17439.0
15383.0,17483.0
15383.0,17576.0
15383.0,17602.0
15383.0,19460.0
15383.0,20079.0
69512.0,764.0
69512.0,3000.0
69512.0,4900.0
69512.0,4920.0
69512.0,6865.0
69512.0,7031.0
69512.0,7652.0
69512.0,9901.0
69512.0,12378.0
69512.0,13255.0
69512.0,13891.0
69512.0,14422.0
69512.0,14909.0
69512.0,15549.0
69512.0,16097.0
69512.0,16257.0
69512.0,18306.0
69512.0,18922.0
69512.0,19005.0
69512.0,19064.0
69512.0,19180.0
69512.0,19428.0
69512.0,20161.0
69512.0,20469.0
105443.0,3538.0
105443.0,4742.0
105443.0,5384.0
105443.0,8402.0
105443.0,8717.0
105443.0,8961.0
105443.0,10889.0
105443.0,10931.0
105443.0,11603.0
105443.0,12200.0
105443.0,12277.0
105443.0,12510.0
105443.0,12835.0
105443.0,14200.0
105443.0,14995.0
105443.0,15358.0
105443.0,15555.0
105443.0,15564.0
105443.0,18918.0
105443.0,19766.0
23636.0,240.0
23636.0,3865.0
23636.0,4273.0
23636.0,4602.0
23636.0,6072.0
23636.0,6377.0
23636.0,7555.0
23636.0,7925.0
23636.0,8866.0
23636.0,8964.0
23636.0,9961.0
23636.0,10451.0
23636.0,11026.0
23636.0,13711.0
23636.0,15679.0
