uid,iid
380.0,806.0
380.0,7903.0
380.0,10636.0
380.0,13467.0
380.0,13750.0
380.0,14268.0
106359.0,13057.0
36506.0,1093.0
36506.0,15176.0
36506.0,19175.0
88499.0,243.0
88499.0,2185.0
55664.0,2103.0
55664.0,5683.0
55664.0,9306.0
55664.0,16070.0
55664.0,18018.0
21880.0,14186.0
21880.0,15267.0
99677.0,9246.0
99677.0,16617.0
100407.0,8805.0
100407.0,13640.0
100407.0,18539.0
100407.0,18891.0
98410.0,874.0
98410.0,1140.0
69512.0,10830.0
69512.0,11147.0
69512.0,14588.0
69512.0,19636.0
105443.0,3226.0
105443.0,10808.0
105443.0,17645.0
23636.0,5444.0
23636.0,8798.0
23636.0,16351.0
23636.0,17776.0
23636.0,17788.0
57555.0,6826.0
57555.0,8934.0
57555.0,13169.0
57555.0,15988.0
57555.0,16070.0
57555.0,18018.0
80632.0,874.0
80632.0,2133.0
80632.0,7508.0
80632.0,15518.0
35592.0,9156.0
35592.0,18854.0
64542.0,13193.0
97305.0,874.0
97305.0,7245.0
97305.0,8142.0
97305.0,9276.0
97305.0,9306.0
97305.0,18201.0
102051.0,874.0
79870.0,874.0
79870.0,9276.0
79870.0,13750.0
83030.0,17375.0
83030.0,19200.0
90963.0,5135.0
90963.0,14430.0
90963.0,14773.0
90963.0,15336.0
90963.0,15619.0
44261.0,9603.0
44261.0,20441.0
64837.0,6243.0
64837.0,9618.0
64837.0,17652.0
64837.0,18089.0
56559.0,4803.0
56559.0,15981.0
84637.0,6701.0
49868.0,874.0
49868.0,2638.0
49868.0,7508.0
49868.0,11056.0
49868.0,11075.0
49868.0,20343.0
104333.0,3325.0
104333.0,5387.0
104333.0,18987.0
104333.0,19096.0
104333.0,19256.0
85138.0,874.0
85138.0,3558.0
85138.0,4936.0
85138.0,8855.0
85138.0,17272.0
85138.0,20060.0
65127.0,5090.0
65127.0,10658.0
65127.0,11765.0
65127.0,12880.0
65127.0,19257.0
55804.0,911.0
55804.0,1140.0
55804.0,9791.0
55804.0,14599.0
80984.0,3255.0
80984.0,6091.0
80984.0,12854.0
80984.0,14014.0
80984.0,17778.0
80984.0,19399.0
51979.0,6243.0
51979.0,9156.0
51979.0,12730.0
51979.0,18854.0
57495.0,874.0
57495.0,1805.0
57495.0,16617.0
35496.0,13057.0
75097.0,5135.0
75097.0,10636.0
17651.0,1140.0
17651.0,7297.0
17651.0,9791.0
17651.0,11991.0
17651.0,14599.0
17651.0,16245.0
17651.0,18992.0
17651.0,19267.0
16492.0,3558.0
16492.0,11991.0
16492.0,17839.0
16492.0,20060.0
51491.0,11991.0
51491.0,15087.0
51491.0,20351.0
36512.0,1140.0
36512.0,18456.0
18805.0,2831.0
18805.0,3163.0
18805.0,19096.0
102582.0,8053.0
102582.0,11533.0
102582.0,12649.0
102582.0,16617.0
8546.0,18891.0
44115.0,12310.0
44115.0,12341.0
44115.0,19743.0
43091.0,7245.0
43091.0,18828.0
79070.0,1140.0
79070.0,3163.0
79070.0,10636.0
79070.0,14045.0
877.0,13750.0
877.0,14587.0
92600.0,874.0
92600.0,3255.0
98651.0,874.0
98651.0,3255.0
98651.0,19636.0
14096.0,7978.0
14096.0,8592.0
14096.0,15022.0
92468.0,1140.0
92468.0,1390.0
92468.0,14180.0
16702.0,523.0
16702.0,3558.0
16702.0,14366.0
16702.0,17478.0
16702.0,17839.0
16702.0,19636.0
37746.0,3558.0
37746.0,4939.0
37746.0,10482.0
37746.0,13990.0
1767.0,3154.0
1767.0,9247.0
1767.0,13750.0
1767.0,14587.0
1767.0,17222.0
1767.0,20276.0
91535.0,3779.0
91535.0,15203.0
7049.0,72.0
7049.0,874.0
7049.0,3163.0
7049.0,16617.0
88370.0,874.0
88370.0,1140.0
88370.0,17969.0
21122.0,874.0
21122.0,1140.0
21122.0,3558.0
21122.0,6391.0
21122.0,9472.0
21122.0,11991.0
21122.0,14045.0
21122.0,15981.0
21122.0,16629.0
21122.0,19636.0
63502.0,6391.0
63502.0,15981.0
2443.0,2984.0
2443.0,8809.0
2443.0,15347.0
54866.0,6187.0
54866.0,6467.0
54866.0,14231.0
62913.0,2831.0
62913.0,17235.0
62913.0,18330.0
106192.0,1805.0
106192.0,2426.0
106192.0,20163.0
76224.0,10360.0
76224.0,14473.0
76224.0,18670.0
91685.0,9930.0
91685.0,18018.0
65208.0,14310.0
65208.0,14587.0
98066.0,972.0
55599.0,874.0
55599.0,2557.0
55599.0,12138.0
55599.0,15152.0
55599.0,18018.0
37056.0,874.0
37056.0,13053.0
37056.0,14773.0
13031.0,2296.0
13031.0,10636.0
13031.0,11991.0
13031.0,15981.0
